NCI:C27555	UMLS:C1335042
NCI:C27564	UMLS:C1333387
NCI:C27574	UMLS:C1333150
NCI:C27599	UMLS:C1335051
NCI:C27605	UMLS:C0009759
NCI:C27613	UMLS:C1335037
NCI:C27872	UMLS:C1333147
NCI:C27873	UMLS:C1333144
NCI:C28286	UMLS:C0917801
NCI:C2958	UMLS:C0009460
NCI:C2976	UMLS:C0010690
NCI:C3079	UMLS:C0018799
NCI:C3131	UMLS:C0398686
NCI:C3287	UMLS:C0028882
NCI:C34518	UMLS:C0010314
NCI:C34634	UMLS:C0017377
NCI:C34845	UMLS:C0027726
NCI:C34848	UMLS:C0027932
NCI:C35029	UMLS:C0037448
NCI:C35254	UMLS:C0162819
NCI:C35321	UMLS:C0265338
NCI:C35337	UMLS:C0268713
NCI:C35561	UMLS:C1335664
NCI:C35664	UMLS:C0948522
NCI:C35755	UMLS:C1335038
NCI:C36287	UMLS:C0302142
NCI:C3711	UMLS:C0205866
NCI:C40425	UMLS:C1302749
NCI:C4309	UMLS:C0334563
NCI:C4485	UMLS:C0346068
NCI:C46083	UMLS:C0338656
NCI:C4675	UMLS:C0376319
NCI:C4875	UMLS:C0178829
NCI:C53547	UMLS:C1709248
NCI:C5679	UMLS:C0949059
NCI:C6784	UMLS:C1333190
NCI:C7422	UMLS:C1335466
NCI:C75016	UMLS:C0270972
NCI:C75020	UMLS:C0008928
NCI:C78251	UMLS:C0948245
NCI:C8371	UMLS:C0265978
NCI:C84643	UMLS:C0265252
NCI:C84644	UMLS:C1168173
NCI:C84656	UMLS:C0010324
NCI:C84657	UMLS:C2316212
NCI:C89328	UMLS:C0679381
NCI:C89329	UMLS:C0149654
NCI:C9460	UMLS:C0009207
NCI:C98889	UMLS:C1275808
NCI:C98908	UMLS:C0265233
NCI:C99267	UMLS:C1302790
NCI:C101304	UMLS:C0852852
NCI:C26773	UMLS:C0015799
NCI:C27145	UMLS:C1274233
NCI:C27561	UMLS:C1704437
NCI:C27565	UMLS:C1335007
NCI:C27580	UMLS:C0031117
NCI:C27667	UMLS:C1335774
NCI:C27933	UMLS:C1334934
NCI:C28193	UMLS:C0039082
NCI:C2875	UMLS:C0003123
NCI:C2878	UMLS:C0003469
NCI:C2893	UMLS:C0004936
NCI:C2969	UMLS:C0010481
NCI:C2991	UMLS:C0012634
NCI:C2993	UMLS:C0013080
NCI:C3009	UMLS:C0014130
NCI:C3034	UMLS:C0015624
NCI:C3063	UMLS:C0018133
NCI:C3101	UMLS:C0019247
NCI:C3113	UMLS:C0020507
NCI:C3149	UMLS:C0022658
NCI:C3214	UMLS:C0024523
NCI:C3311	UMLS:C0030472
NCI:C3340	UMLS:C0032584
NCI:C3353	UMLS:C0035222
NCI:C3362	UMLS:C0036341
NCI:C3425	UMLS:C0041364
NCI:C34348	UMLS:C1510455
NCI:C34366	UMLS:C0001940
NCI:C34510	UMLS:C1384514
NCI:C3472	UMLS:C0085110
NCI:C3479	UMLS:C0085281
NCI:C3506	UMLS:C0342494
NCI:C35064	UMLS:C0039445
NCI:C35139	UMLS:C0085280
NCI:C35256	UMLS:C0175713
NCI:C35408	UMLS:C0342492
NCI:C35420	UMLS:C0349231
NCI:C35458	UMLS:C0439857
NCI:C35467	UMLS:C0473563
NCI:C35470	UMLS:C0481391
NCI:C35709	UMLS:C0268314
NCI:C35764	UMLS:C0349464
NCI:C35808	UMLS:C1332133
NCI:C35809	UMLS:C1332135
NCI:C35810	UMLS:C1332141
NCI:C35811	UMLS:C1332173
NCI:C35838	UMLS:C1332177
NCI:C4377	UMLS:C0341703
NCI:C4980	UMLS:C0856825
NCI:C53543	UMLS:C1709838
NCI:C53652	UMLS:C0948089
NCI:C61252	UMLS:C0162309
NCI:C7201	UMLS:C1334185
NCI:C78296	UMLS:C0341702
NCI:C78576	UMLS:C0033975
NCI:C84530	UMLS:C0263859
NCI:C84531	UMLS:C0796147
NCI:C84533	UMLS:C0001206
NCI:C85239	UMLS:C0043459
NCI:C85866	UMLS:C0265388
NCI:C89330	UMLS:C0008073
NCI:C92191	UMLS:C0001546
NCI:C92621	UMLS:C0236816
NCI:C92719	UMLS:C0015929
NCI:C92728	UMLS:C0814154
NCI:C92780	UMLS:C2985290
NCI:C9292	UMLS:C0280100
NCI:C93040	UMLS:C0001973
NCI:C9305	UMLS:C0006826
NCI:C98829	UMLS:C0265385
NCI:C26709	UMLS:C0006145
NCI:C27264	UMLS:C2314896
NCI:C27551	UMLS:C1333305
NCI:C2909	UMLS:C1334998
NCI:C2941	UMLS:C0007965
NCI:C2975	UMLS:C0010674
NCI:C3263	UMLS:C0027653
NCI:C34440	UMLS:C2267227
NCI:C34649	UMLS:C0403529
NCI:C35686	UMLS:C1334159
NCI:C40403	UMLS:C1511282
NCI:C40404	UMLS:C1511321
NCI:C40423	UMLS:C0349611
NCI:C4685	UMLS:C0393534
NCI:C4691	UMLS:C0272242
NCI:C5509	UMLS:C1332881
NCI:C70646	UMLS:C0206138
NCI:C75100	UMLS:C0265354
NCI:C84601	UMLS:C0242644
NCI:C84606	UMLS:C0751587
NCI:C89338	UMLS:C1535926
NCI:C8967	UMLS:C0018523
NCI:C92201	UMLS:C0236988
NCI:C94390	UMLS:C0033958
NCI:C26883	UMLS:C1527336
NCI:C27263	UMLS:C1336052
NCI:C34806	UMLS:C0024776
NCI:C34807	UMLS:C0024796
NCI:C3488	UMLS:C0086768
NCI:C34959	UMLS:C0033949
NCI:C3931	UMLS:C0264239
NCI:C40553	UMLS:C0406735
NCI:C54102	UMLS:C0152222
NCI:C55815	UMLS:C0030271
NCI:C61264	UMLS:C0026709
NCI:C61374	UMLS:C0338831
NCI:C75007	UMLS:C2698016
NCI:C75488	UMLS:C0035372
NCI:C84869	UMLS:C0024591
NCI:C84881	UMLS:C0024633
NCI:C84885	UMLS:C0162671
NCI:C84889	UMLS:C0162672
NCI:C98982	UMLS:C1608393
NCI:C26875	UMLS:C0035309
NCI:C26903	UMLS:C0041969
NCI:C27168	UMLS:C0520679
NCI:C27664	UMLS:C0851922
NCI:C27665	UMLS:C1335031
NCI:C34867	UMLS:C0236748
NCI:C34868	UMLS:C0029221
NCI:C34869	UMLS:C0029225
NCI:C34870	UMLS:C0029227
NCI:C34871	UMLS:C0029232
NCI:C34872	UMLS:C0029233
NCI:C35743	UMLS:C1335045
NCI:C36012	UMLS:C1334971
NCI:C36036	UMLS:C1334975
NCI:C36037	UMLS:C1334991
NCI:C4678	UMLS:C0265318
NCI:C4686	UMLS:C0393626
NCI:C53529	UMLS:C1709246
NCI:C53531	UMLS:C1709247
NCI:C67235	UMLS:C1274103
NCI:C75015	UMLS:C0265341
NCI:C75481	UMLS:C2698658
NCI:C80303	UMLS:C0085404
NCI:C84940	UMLS:C0028860
NCI:C88411	UMLS:C0028768
NCI:C92565	UMLS:C0029121
NCI:C92638	UMLS:C0009595
NCI:C94828	UMLS:C2986703
NCI:C103144	UMLS:C0796113
NCI:C27177	UMLS:C0549410
NCI:C27655	UMLS:C1290854
NCI:C27879	UMLS:C1335328
NCI:C34890	UMLS:C0030319
NCI:C34904	UMLS:C0030631
NCI:C34911	UMLS:C0030824
NCI:C34912	UMLS:C0030976
NCI:C35186	UMLS:C0154548
NCI:C35274	UMLS:C0233746
NCI:C35791	UMLS:C1335368
NCI:C3981	UMLS:C0270932
NCI:C6032	UMLS:C1335349
NCI:C6033	UMLS:C1335350
NCI:C75458	UMLS:C0265449
NCI:C84987	UMLS:C0265220
NCI:C84992	UMLS:C0030360
NCI:C85010	UMLS:C0031900
NCI:C85012	UMLS:C0458224
NCI:C8966	UMLS:C1377828
NCI:C89802	UMLS:C0265497
NCI:C92620	UMLS:C0086769
NCI:C92630	UMLS:C0030477
NCI:C94335	UMLS:C0030662
NCI:C94355	UMLS:C0030764
NCI:C97193	UMLS:C0236794
NCI:C97194	UMLS:C0236800
NCI:C99008	UMLS:C0265228
NCI:C99015	UMLS:C0268194
NCI:C26684	UMLS:C0000773
NCI:C27060	UMLS:C0270769
NCI:C27064	UMLS:C0271175
NCI:C27070	UMLS:C0272167
NCI:C27082	UMLS:C0281957
